Voltage in [V],Amperage in [A],Error on the voltage,Error on the Amperage
0.27419354838709675,0.0,0.0032258064516129115,0.0
0.27096774193548384,0.0,0.009677419354838679,0.0
0.2838709677419355,2.19941348973607e-05,0.0,2.19941348973607e-05
0.2887096774193548,3.665689149560117e-05,0.001612903225806456,7.331378299120231e-06
0.2887096774193548,0.0,0.0048387096774193394,0.0
0.29193548387096774,7.331378299120235e-06,0.001612903225806428,7.331378299120235e-06
0.29354838709677417,0.0,0.016129032258064502,0.0
0.2903225806451613,0.0,0.016129032258064502,0.0
0.30483870967741933,7.331378299120235e-06,0.001612903225806456,7.331378299120235e-06
0.2983870967741935,4.39882697947214e-05,0.004838709677419367,4.39882697947214e-05
0.30806451612903224,0.0,0.001612903225806428,0.0
0.314516129032258,0.0,0.001612903225806456,0.0
0.317741935483871,0.0,0.001612903225806456,0.0
0.3258064516129032,2.19941348973607e-05,0.0032258064516128837,2.19941348973607e-05
0.32096774193548383,0.0,0.001612903225806456,0.0
0.3193548387096774,0.0,0.006451612903225795,0.0
0.32741935483870965,4.39882697947214e-05,0.001612903225806456,4.39882697947214e-05
0.3370967741935484,0.0,0.001612903225806428,0.0
0.3370967741935484,7.331378299120235e-06,0.001612903225806428,7.331378299120235e-06
0.3338709677419355,0.0,0.0016129032258064835,0.0
0.34354838709677415,0.0,0.001612903225806456,0.0
0.34516129032258064,7.331378299120235e-06,0.0,7.331378299120235e-06
0.3467741935483871,0.0,0.001612903225806456,0.0
0.35161290322580646,2.19941348973607e-05,0.0,2.19941348973607e-05
0.3516129032258064,0.0,3.925231146709438e-17,0.0
0.32741935483870965,7.331378299120235e-06,0.027419354838709664,7.331378299120235e-06
0.35967741935483866,2.19941348973607e-05,0.004838709677419367,2.19941348973607e-05
0.3629032258064516,0.0,0.001612903225806456,0.0
0.3709677419354838,0.0,0.0,0.0
0.3709677419354838,0.0,0.0,0.0
0.37419354838709673,0.0,0.0,0.0
0.382258064516129,1.466275659824047e-05,0.001612903225806456,1.466275659824047e-05
0.38064516129032255,4.398826979472141e-05,0.0,2.932551319648094e-05
0.3790322580645161,0.0,0.004838709677419367,0.0
0.37419354838709673,0.0,0.0,0.0
0.3758064516129032,0.0,0.0016129032258064835,0.0
0.3935483870967742,0.0,0.0,0.0
0.3887096774193548,0.0,0.008064516129032279,0.0
0.3983870967741935,7.331378299120235e-06,0.001612903225806456,7.331378299120235e-06
0.3935483870967742,0.0,0.01612903225806453,0.0
0.41129032258064513,3.665689149560117e-05,0.011290322580645162,3.665689149560117e-05
0.4064516129032258,0.0,0.0032258064516129115,0.0
0.39838709677419354,0.0,0.014516129032258074,0.0
0.41290322580645156,0.0,0.0032258064516129115,0.0
0.41774193548387095,0.0,0.001612903225806456,0.0
0.41774193548387095,2.932551319648094e-05,0.001612903225806456,2.932551319648094e-05
0.4258064516129032,0.0,0.0,0.0
0.41290322580645156,7.331378299120235e-06,0.019354838709677386,7.331378299120235e-06
0.43225806451612897,7.331378299120235e-06,0.0,7.331378299120235e-06
